condição inicial

x = 0
y = 0.5
yaw = 45

inclinação f(X) = 30º

145.6,87.08,80.29,0.58,0.64,-0.13,0.28,-0.08,0.14,180.0,211.0,119.0,0.0,-1.05,-0.26,0.26,-0.31
142.4,74.05,91.68,0.61,0.63,-0.11,0.28,-0.08,0.47,180.0,211.0,119.0,0.0,-1.0,-0.22,0.24,-0.31
142.4,74.05,91.68,0.61,0.63,-0.11,0.28,-0.08,0.47,180.0,211.0,119.0,0.0,-1.0,-0.22,0.24,-0.31
140.8,72.65,95.72,0.64,0.62,-0.09,0.29,-0.06,0.47,180.0,211.0,119.0,0.0,-0.96,-0.17,0.22,-0.32
144.0,77.81,90.98,0.67,0.62,-0.06,0.29,-0.05,0.5,180.0,211.0,119.0,0.0,-0.91,-0.12,0.2,-0.31
144.0,74.01,92.84,0.7,0.61,-0.04,0.29,-0.04,0.41,180.0,211.0,119.0,0.0,-0.87,-0.08,0.18,-0.31
142.4,72.12,93.72,0.73,0.61,-0.02,0.29,-0.02,0.5,180.0,211.0,119.0,0.0,-0.82,-0.03,0.17,-0.29
139.2,71.76,92.68,0.76,0.61,0.01,0.29,-0.01,0.44,180.0,211.0,119.0,0.0,-0.77,0.01,0.15,-0.28
144.0,67.5,91.47,0.78,0.61,0.03,0.28,0.0,0.53,180.0,211.0,119.0,0.0,-0.72,0.07,0.14,-0.26
137.6,71.19,89.59,0.81,0.61,0.05,0.28,0.02,0.37,180.0,211.0,119.0,0.0,-0.68,0.1,0.13,-0.24
139.2,69.55,90.85,0.84,0.62,0.07,0.28,0.03,0.45,180.0,211.0,119.0,0.0,-0.64,0.15,0.11,-0.22
139.2,69.55,90.85,0.84,0.62,0.07,0.28,0.03,0.45,180.0,211.0,119.0,0.0,-0.64,0.15,0.11,-0.22
136.0,72.9,90.45,0.87,0.62,0.09,0.28,0.04,0.41,180.0,211.0,119.0,0.0,-0.6,0.19,0.1,-0.2
136.0,72.9,90.45,0.87,0.62,0.09,0.28,0.04,0.41,180.0,211.0,119.0,0.0,-0.6,0.19,0.1,-0.2
136.0,72.9,90.45,0.87,0.62,0.09,0.28,0.04,0.41,180.0,211.0,119.0,0.0,-0.6,0.19,0.1,-0.2
129.6,64.79,82.94,0.95,0.64,0.16,0.25,0.07,0.49,180.0,211.0,119.0,0.0,-0.46,0.33,0.08,-0.1
120.0,58.31,78.28,0.99,0.66,0.21,0.22,0.09,0.5,180.0,191.93,99.93,0.0,-0.37,0.42,0.07,-0.02
116.8,56.02,77.33,1.02,0.67,0.23,0.21,0.09,0.52,180.0,175.85,83.85,0.0,-0.32,0.47,0.07,0.02
116.8,58.47,79.86,1.04,0.68,0.25,0.22,0.11,0.26,180.0,167.87,75.87,0.0,-0.29,0.5,0.07,0.05
123.2,66.96,72.9,1.06,0.69,0.24,0.22,0.12,-0.11,180.0,172.26,80.26,0.0,-0.3,0.49,0.07,0.03
123.2,79.23,69.17,1.08,0.7,0.23,0.23,0.12,-0.22,180.0,180.73,88.73,0.0,-0.32,0.46,0.07,0.01
131.2,85.59,70.36,1.11,0.71,0.22,0.24,0.12,-0.26,180.0,190.85,98.85,0.0,-0.35,0.44,0.06,-0.02
131.2,85.59,70.36,1.11,0.71,0.22,0.24,0.12,-0.26,180.0,190.85,98.85,0.0,-0.35,0.44,0.06,-0.02
131.2,85.59,70.36,1.11,0.71,0.22,0.24,0.12,-0.26,180.0,190.85,98.85,0.0,-0.35,0.44,0.06,-0.02
136.0,85.68,74.95,1.13,0.73,0.22,0.26,0.12,0.0,180.0,192.22,100.22,0.0,-0.35,0.44,0.06,-0.02
136.0,85.68,74.95,1.13,0.73,0.22,0.26,0.12,0.0,180.0,192.22,100.22,0.0,-0.35,0.44,0.06,-0.02
136.0,85.68,74.95,1.13,0.73,0.22,0.26,0.12,0.0,180.0,192.22,100.22,0.0,-0.35,0.44,0.06,-0.02
124.8,73.34,82.26,1.21,0.76,0.23,0.24,0.12,0.0,180.0,187.47,95.47,0.0,-0.32,0.46,0.06,-0.01
124.8,73.34,82.26,1.21,0.76,0.23,0.24,0.12,0.0,180.0,187.47,95.47,0.0,-0.32,0.46,0.06,-0.01
139.2,81.23,81.35,1.28,0.8,0.25,0.25,0.13,0.13,180.0,176.55,84.55,0.0,-0.29,0.5,0.05,0.02
139.2,79.72,82.12,1.33,0.83,0.24,0.25,0.14,-0.25,180.0,182.11,90.11,0.0,-0.3,0.49,0.05,0.01
145.6,85.24,78.45,1.36,0.84,0.23,0.25,0.13,-0.24,180.0,190.8,98.8,0.0,-0.32,0.46,0.05,-0.02
140.8,82.63,78.35,1.38,0.85,0.22,0.25,0.13,-0.14,180.0,196.31,104.31,0.0,-0.34,0.45,0.05,-0.04
144.0,80.63,85.27,1.41,0.87,0.23,0.26,0.13,0.1,180.0,193.91,101.91,0.0,-0.33,0.46,0.05,-0.03
150.4,87.48,91.86,1.44,0.88,0.24,0.28,0.14,0.25,180.0,186.23,94.23,0.0,-0.3,0.48,0.04,-0.01
150.4,87.48,91.86,1.44,0.88,0.24,0.28,0.14,0.25,180.0,186.23,94.23,0.0,-0.3,0.48,0.04,-0.01
152.0,87.64,91.32,1.46,0.89,0.25,0.28,0.15,0.21,180.0,179.76,87.76,0.0,-0.28,0.5,0.04,0.01
152.0,87.64,91.32,1.46,0.89,0.25,0.28,0.15,0.21,180.0,179.76,87.76,0.0,-0.28,0.5,0.04,0.01
152.0,87.64,91.32,1.46,0.89,0.25,0.28,0.15,0.21,180.0,179.76,87.76,0.0,-0.28,0.5,0.04,0.01
152.0,87.64,91.32,1.46,0.89,0.25,0.28,0.15,0.21,180.0,179.76,87.76,0.0,-0.28,0.5,0.04,0.01
139.2,80.46,83.76,1.57,0.95,0.24,0.25,0.14,-0.13,180.0,185.45,93.45,0.0,-0.29,0.49,0.04,-0.0
142.4,81.88,82.59,1.59,0.96,0.24,0.25,0.14,-0.15,180.0,190.99,98.99,0.0,-0.31,0.48,0.04,-0.02
148.8,89.37,84.1,1.62,0.98,0.23,0.27,0.14,-0.13,180.0,195.82,103.82,0.0,-0.32,0.46,0.04,-0.03
150.4,95.5,87.43,1.65,0.99,0.23,0.29,0.14,0.0,180.0,196.44,104.44,0.0,-0.32,0.46,0.04,-0.04
150.4,88.4,88.69,1.67,1.01,0.24,0.28,0.14,0.16,180.0,191.56,99.56,0.0,-0.31,0.48,0.03,-0.02
145.6,81.29,89.32,1.7,1.02,0.24,0.27,0.14,0.14,180.0,187.21,95.21,0.0,-0.29,0.49,0.03,-0.01
148.8,76.76,86.49,1.73,1.03,0.25,0.25,0.14,0.19,180.0,181.1,89.1,0.0,-0.27,0.51,0.03,0.01
137.6,74.63,86.32,1.75,1.05,0.25,0.25,0.14,0.0,180.0,181.28,89.28,0.0,-0.27,0.51,0.03,0.01
137.6,74.63,86.32,1.75,1.05,0.25,0.25,0.14,0.0,180.0,181.28,89.28,0.0,-0.27,0.51,0.03,0.01
150.4,80.16,87.66,1.78,1.06,0.25,0.26,0.14,0.0,180.0,181.46,89.46,0.0,-0.27,0.51,0.03,0.01
150.4,80.16,87.66,1.78,1.06,0.25,0.26,0.14,0.0,180.0,181.46,89.46,0.0,-0.27,0.51,0.03,0.01
150.4,80.16,87.66,1.78,1.06,0.25,0.26,0.14,0.0,180.0,181.46,89.46,0.0,-0.27,0.51,0.03,0.01
145.6,93.54,82.62,1.83,1.09,0.25,0.27,0.15,0.0,180.0,181.82,89.82,0.0,-0.27,0.51,0.03,0.01
145.6,82.47,85.76,1.91,1.14,0.24,0.26,0.14,-0.1,180.0,191.44,99.44,0.0,-0.3,0.49,0.03,-0.02
139.2,81.19,80.34,1.94,1.15,0.24,0.25,0.13,-0.09,180.0,194.83,102.83,0.0,-0.31,0.48,0.03,-0.03
139.2,81.19,80.34,1.94,1.15,0.24,0.25,0.13,-0.09,180.0,194.83,102.83,0.0,-0.31,0.48,0.03,-0.03
